label,title,url,citation_count,citation_source,semantic_scholar_citationCount,openalex_cited_by_count,crossref_is_referenced_by_count
NeurIPS2024,Chat-Scene: Bridging 3D Scene and Large Language Models with Object Identifiers,https://arxiv.org/pdf/2312.08168,107,semantic_scholar,107,1,
arXiv2025,Cambrian-S: Towards Spatial Supersensing in Video,https://arxiv.org/pdf/2511.04670,8,semantic_scholar,8,0,
NeurIPS2024,"Cambrian-1: A Fully Open, Vision-Centric Exploration of Multimodal LLM",https://arxiv.org/pdf/2406.16860,595,semantic_scholar,595,3,
NeurIPS2024,"Cambrian-1: A Fully Open, Vision-Centric Exploration of Multimodal LLM",https://arxiv.org/pdf/2406.16860,595,semantic_scholar,595,3,
arXiv2025,Beyond Flatlands: Unlocking Spatial Intelligence by Decoupling 3D Reasoning from Numerical Regression,https://arxiv.org/pdf/2511.11239,0,semantic_scholar,0,0,
CVPR2025,Argus: A Compact and Versatile Foundation Model for Vision,https://openaccess.thecvf.com/content/CVPR2025/papers/Zhuang_Argus_A_Compact_and_Versatile_Foundation_Model_for_Vision_CVPR_2025_paper.pdf,1,semantic_scholar,1,0,
CVPR2025,Argus: A Compact and Versatile Foundation Model for Vision,https://openaccess.thecvf.com/content/CVPR2025/papers/Zhuang_Argus_A_Compact_and_Versatile_Foundation_Model_for_Vision_CVPR_2025_paper.pdf,1,semantic_scholar,1,0,
ICML2024,An Embodied Generalist Agent in 3D World (Beijing Institute for General Artificial Intelligence,https://arxiv.org/pdf/2311.12871,280,semantic_scholar,280,13,
arXiv2025,Abstract 3D Perception for Spatial Intelligence in Vision-Language Models,https://arxiv.org/pdf/2511.10946,0,semantic_scholar,0,0,
Neurocomputing2025,3DAxisPrompt: Promoting the 3d grounding and reasoning in gpt-4o,https://www.sciencedirect.com/science/article/abs/pii/S0925231225007441,2,openalex,,2,
CVPR2025,3D-LLaVA: Towards Generalist 3D LMMs with Omni Superpoint Transformer,https://arxiv.org/pdf/2501.01163,33,semantic_scholar,33,0,
NeurIPS2023,3D-LLM: Injecting the 3D World into Large Language Models,https://arxiv.org/pdf/2307.12981,14,openalex,,14,
CVPR2023,3D Concept Learning and Reasoning from Multi-View Images,https://arxiv.org/pdf/2303.11327,70,semantic_scholar,70,28,
Arxiv2025,3D Aware Region Prompted Vision Language Model,https://arxiv.org/pdf/2509.13317,6,semantic_scholar,6,0,
